no-heart-attack,heart-attack,Salary-Churn,Salary-Not-Churn,Mex-Inflation,high_school,bachelors_degree,home-expected-goals,away-expected-goals,Control-earning,Test-earning,Control-Click,Test-Click,Developing,Developed,,
,,88729.22,33828.64,,,,,,,,,,,,,
,,149946.43,128875.86,,,,,,,,,,,,,
,,7953.62,158974.45,,,,,,,,,,,,,
,,143952.24,198182.73,,,,,,,,,,,,,
,,158032.5,141404.07,,,,,,,,,,,,,
,,1140.02,4175.68,,,,,,,,,,,,,
,,186476.91,126876.47,,,,,,,,,,,,,
,,60021.34,41052.82,,,,,,,,,,,,,
,,132498.39,105760.01,,,,,,,,,,,,,
,,109608.81,27937.12,,,,,,,,,,,,,
,,62413.01,79355.87,,,,,,,,,,,,,
,,166386.22,102180.27,,,,,,,,,,,,,
,,29583.48,95719.73,,,,,,,,,,,,,
,,25744.13,57121.51,,,,,,,,,,,,,
,,46807.62,162478.11,,,,,,,,,,,,,
,,88391.29,194808.51,,,,,,,,,,,,,
,,168359.98,124045.65,,,,,,,,,,,,,
,,36687.11,133653.38,,,,,,,,,,,,,
,,16645.77,25101.17,,,,,,,,,,,,,
,,180134.88,33330.89,,,,,,,,,,,,,
,,38798.79,2401.26,,,,,,,,,,,,,
,,111442.71,178361.04,,,,,,,,,,,,,
,,105732.9,162697.93,,,,,,,,,,,,,
,,73489.15,80607.33,,,,,,,,,,,,,
,,160526.36,23146.62,,,,,,,,,,,,,
,,193135.25,89893.6,,,,,,,,,,,,,
,,57817.84,3173.31,,,,,,,,,,,,,
,,163112.9,123218.81,,,,,,,,,,,,,
,,65769.3,74588.41,,,,,,,,,,,,,
,,174123.16,31288.77,,,,,,,,,,,,,
,,161304.68,58561.31,,,,,,,,,,,,,
,,181794.86,148804.36,,,,,,,,,,,,,
,,143585.29,51117.06,,,,,,,,,,,,,
,,58268.2,164537.17,,,,,,,,,,,,,
,,147963.07,61977.82,,,,,,,,,,,,,
,,39488.04,193362.99,,,,,,,,,,,,,
,,6554.97,47722.79,,,,,,,,,,,,,
,,115037.67,18510.41,,,,,,,,,,,,,
,,187280.51,65057.71,,,,,,,,,,,,,
,,183540.22,46374.64,,,,,,,,,,,,,
,,104721.5,42039.67,,,,,,,,,,,,,
,,118929.64,22735.45,,,,,,,,,,,,,
,,131553.82,186910.74,,,,,,,,,,,,,
,,74176.71,75285.47,,,,,,,,,,,,,
,,139844.04,15034.93,,,,,,,,,,,,,
,,144366.83,153012.13,,,,,,,,,,,,,
,,19605.18,86173.92,,,,,,,,,,,,,
,,154344,197548.63,,,,,,,,,,,,,
,,60810.64,37042.8,,,,,,,,,,,,,
,,87071.18,121085.72,,,,,,,,,,,,,
,,164064.44,101273.23,,,,,,,,,,,,,
,,198715.27,582.53,,,,,,,,,,,,,
,,111097.39,192381.21,,,,,,,,,,,,,
,,48201.64,60728.89,,,,,,,,,,,,,
,,85937.52,189175.71,,,,,,,,,,,,,
,,56585.2,102547.56,,,,,,,,,,,,,
,,85240.61,36706.56,,,,,,,,,,,,,
,,160529.71,44756.25,,,,,,,,,,,,,
,,195896.59,132870.15,,,,,,,,,,,,,
,,122960.98,16287.38,,,,,,,,,,,,,
,,645.61,121945.42,,,,,,,,,,,,,
,,91098.76,88669.89,,,,,,,,,,,,,
,,12156.93,160835.3,,,,,,,,,,,,,
,,62370.67,24761.36,,,,,,,,,,,,,
,,69414.13,138526.96,,,,,,,,,,,,,
,,150548.5,157442.75,,,,,,,,,,,,,
,,142492.04,105295.77,,,,,,,,,,,,,
,,59497.01,97782.92,,,,,,,,,,,,,
,,102517.83,68255.88,,,,,,,,,,,,,
,,184474.72,108790.95,,,,,,,,,,,,,
,,150093.32,143706.18,,,,,,,,,,,,,
,,7312.25,148993.47,,,,,,,,,,,,,
,,102402.91,152956.33,,,,,,,,,,,,,
,,23548.45,94925.62,,,,,,,,,,,,,
,,104678.78,87308.18,,,,,,,,,,,,,
,,85902.39,104889.3,,,,,,,,,,,,,
,,172576.43,149705.25,,,,,,,,,,,,,
,,190160.04,16445.79,,,,,,,,,,,,,
,,113228.82,54689.16,,,,,,,,,,,,,
,,36923.67,194913.86,,,,,,,,,,,,,
,,171060.01,146371.72,,,,,,,,,,,,,
,,93550.53,156603.7,,,,,,,,,,,,,
,,89405.26,182566.76,,,,,,,,,,,,,
,,195813.81,60194.05,,,,,,,,,,,,,
,,92144.09,143030.09,,,,,,,,,,,,,
,,130784.2,62700.08,,,,,,,,,,,,,
,,96013.5,99017.34,,,,,,,,,,,,,
,,103713.93,187987.01,,,,,,,,,,,,,
,,46632.87,123454.62,,,,,,,,,,,,,
,,85644.06,10921.5,,,,,,,,,,,,,
,,107674.3,53817.23,,,,,,,,,,,,,
,,153288.97,81617.4,,,,,,,,,,,,,
,,103764.55,143882.25,,,,,,,,,,,,,
,,67539.85,53130.41,,,,,,,,,,,,,
,,106340.66,190454.04,,,,,,,,,,,,,
,,49373.97,111906,,,,,,,,,,,,,
,,49324.03,113177.95,,,,,,,,,,,,,
,,160303.08,30529.88,,,,,,,,,,,,,
,,115287.99,18800.13,,,,,,,,,,,,,
,,166650.9,46127.7,,,,,,,,,,,,,
,,164223.7,75585.48,,,,,,,,,,,,,
,,53072.49,63085.94,,,,,,,,,,,,,
,,155799.86,74415.2,,,,,,,,,,,,,
,,42537.59,139889.15,,,,,,,,,,,,,
,,62989.82,7267.25,,,,,,,,,,,,,
,,150159.95,186826.22,,,,,,,,,,,,,
,,75084.96,162149.07,,,,,,,,,,,,,
,,5408.74,83478.12,,,,,,,,,,,,,
,,44147.95,44381.06,,,,,,,,,,,,,
,,74898.8,99294.22,,,,,,,,,,,,,
,,64516.8,127543.81,,,,,,,,,,,,,
,,176614.86,52526.65,,,,,,,,,,,,,
,,16929.41,32589.45,,,,,,,,,,,,,
,,73679.59,45424.13,,,,,,,,,,,,,
,,155905.79,8018.49,,,,,,,,,,,,,
,,12628.61,195668,,,,,,,,,,,,,
,,46791.09,186238.85,,,,,,,,,,,,,
,,157015.5,158668.87,,,,,,,,,,,,,
,,93629.66,9249.36,,,,,,,,,,,,,
,,156476.36,116581.1,,,,,,,,,,,,,
,,122021.33,44688.08,,,,,,,,,,,,,
,,56311.39,148608.39,,,,,,,,,,,,,
,,177740.58,107067.37,,,,,,,,,,,,,
,,186869.58,192776.64,,,,,,,,,,,,,
,,36292.94,46735.19,,,,,,,,,,,,,
,,20432.09,169117.74,,,,,,,,,,,,,
,,119903.2,89081.41,,,,,,,,,,,,,
,,178709.98,105227.86,,,,,,,,,,,,,
,,172852.06,128246.81,,,,,,,,,,,,,
,,122109.58,164137.36,,,,,,,,,,,,,
,,140003,191313.7,,,,,,,,,,,,,
,,126511.94,65257.57,,,,,,,,,,,,,
,,39288.11,178222.77,,,,,,,,,,,,,
,,96405.88,179445.28,,,,,,,,,,,,,
,,83342.73,97877.92,,,,,,,,,,,,,
,,29835.37,113051.57,,,,,,,,,,,,,
,,41921.06,105969.05,,,,,,,,,,,,,
,,41865.72,122996.76,,,,,,,,,,,,,
,,50695.93,68087.15,,,,,,,,,,,,,
,,51345.39,21478.36,,,,,,,,,,,,,
,,137519.92,158437.73,,,,,,,,,,,,,
,,172749.4,76551.7,,,,,,,,,,,,,
,,5558.47,15887.68,,,,,,,,,,,,,
,,88604.89,33741.84,,,,,,,,,,,,,
,,35600.25,20652.69,,,,,,,,,,,,,
,,166929.43,112781.5,,,,,,,,,,,,,
,,129188.18,119996.95,,,,,,,,,,,,,
,,47428.73,78436.36,,,,,,,,,,,,,
,,57338.56,139048,,,,,,,,,,,,,
,,191757.65,136329.96,,,,,,,,,,,,,
,,66652.75,14721.8,,,,,,,,,,,,,
,,22832.71,3430.38,,,,,,,,,,,,,
,,191604.27,160450.21,,,,,,,,,,,,,
,,129964.56,1485.27,,,,,,,,,,,,,
,,6209.51,19720.08,,,,,,,,,,,,,
,,31445.03,41183.02,,,,,,,,,,,,,
,,51226.32,139410.08,,,,,,,,,,,,,
,,116848.79,163691.48,,,,,,,,,,,,,
,,45026.23,115147.33,,,,,,,,,,,,,
,,111622.76,74945.11,,,,,,,,,,,,,
,,151317.27,180363.56,,,,,,,,,,,,,
,,138700.75,196021.73,,,,,,,,,,,,,
,,92536,125979.36,,,,,,,,,,,,,
,,18633.4,111421.77,,,,,,,,,,,,,
,,71830.1,115818.51,,,,,,,,,,,,,
,,149558.83,179360.76,,,,,,,,,,,,,
,,132741.13,82351.06,,,,,,,,,,,,,
,,171045.31,113408.47,,,,,,,,,,,,,
,,155850.4,124641.42,,,,,,,,,,,,,
,,91817.38,54871.02,,,,,,,,,,,,,
,,125311.17,98820.09,,,,,,,,,,,,,
,,14868.94,45570.84,,,,,,,,,,,,,
,,24093.4,182336.45,,,,,,,,,,,,,
,,197297.77,118825.56,,,,,,,,,,,,,
,,148087.88,103372.79,,,,,,,,,,,,,
,,185580.89,43486.73,,,,,,,,,,,,,
,,54083.8,40062.99,,,,,,,,,,,,,
,,49833.5,46175.7,,,,,,,,,,,,,
,,73857.94,120830.73,,,,,,,,,,,,,
,,55356.39,5967.09,,,,,,,,,,,,,
,,59604.45,62972.13,,,,,,,,,,,,,
,,162223.67,174815.54,,,,,,,,,,,,,
,,196549.85,192841.13,,,,,,,,,,,,,
,,120373.84,50911.41,,,,,,,,,,,,,
,,178361.48,48778.46,,,,,,,,,,,,,
,,121164.6,91810.71,,,,,,,,,,,,,
,,147168.28,173195.33,,,,,,,,,,,,,
,,58844.84,182270.88,,,,,,,,,,,,,
,,18094.96,177130.33,,,,,,,,,,,,,
,,6589.16,141896.74,,,,,,,,,,,,,
,,184758.17,120661.71,,,,,,,,,,,,,
,,13911.27,41782.7,,,,,,,,,,,,,
,,95273.73,46172.47,,,,,,,,,,,,,
,,75664.56,2704.09,,,,,,,,,,,,,
,,131238.37,6726.53,,,,,,,,,,,,,
,,13999.64,170764.08,,,,,,,,,,,,,
,,35640.12,45742.42,,,,,,,,,,,,,
,,41788.25,162304.59,,,,,,,,,,,,,
,,120770.75,80883.82,,,,,,,,,,,,,
,,158325.87,69697.74,,,,,,,,,,,,,
,,178235.37,183575.01,,,,,,,,,,,,,
,,84383.22,161203.6,,,,,,,,,,,,,
,,82872.64,143752.77,,,,,,,,,,,,,
,,108258.22,147055.87,,,,,,,,,,,,,
,,136119.96,172033.57,,,,,,,,,,,,,
,,51972.92,143774.06,,,,,,,,,,,,,
,,171345.02,139366.58,,,,,,,,,,,,,
,,119056.68,4470.52,,,,,,,,,,,,,
,,27980.8,135851.3,,,,,,,,,,,,,
,,162960.05,172372.63,,,,,,,,,,,,,
,,56118.81,149807.01,,,,,,,,,,,,,
,,88372.69,54290.62,,,,,,,,,,,,,
,,1262.83,86013.96,,,,,,,,,,,,,
,,137419.87,79886.06,,,,,,,,,,,,,
,,137674.55,66680.77,,,,,,,,,,,,,
,,65066.48,163581.67,,,,,,,,,,,,,
,,111180.3,163221.22,,,,,,,,,,,,,
,,75959.1,12440.44,,,,,,,,,,,,,
,,123.07,145551.6,,,,,,,,,,,,,
,,167066.95,50908.48,,,,,,,,,,,,,
,,117572.59,30149.21,,,,,,,,,,,,,
,,116442.42,57769.2,,,,,,,,,,,,,
,,32421.32,156381.47,,,,,,,,,,,,,
,,121457.88,178123.86,,,,,,,,,,,,,
,,49594.19,51112.8,,,,,,,,,,,,,
,,191821.35,173783.38,,,,,,,,,,,,,
,,161937.62,172063.09,,,,,,,,,,,,,
,,120892.96,155294.17,,,,,,,,,,,,,
,,10899.63,40320.3,,,,,,,,,,,,,
,,177355.8,134260.34,,,,,,,,,,,,,
,,141977.54,147090.9,,,,,,,,,,,,,
,,188324.01,132368.47,,,,,,,,,,,,,
,,101240.08,164741.5,,,,,,,,,,,,,
,,62390.59,199761.29,,,,,,,,,,,,,
,,88479.02,57992.49,,,,,,,,,,,,,
,,97677.52,193093.77,,,,,,,,,,,,,
,,100720.02,57531.14,,,,,,,,,,,,,
,,160810.85,77242.19,,,,,,,,,,,,,
,,12599.94,106564.88,,,,,,,,,,,,,
,,55796.83,168753.34,,,,,,,,,,,,,
,,41815.22,19483.35,,,,,,,,,,,,,
,,74005.04,158646.46,,,,,,,,,,,,,
,,103379.31,83172.19,,,,,,,,,,,,,
,,128049.34,76889.79,,,,,,,,,,,,,
,,13614.01,51554.58,,,,,,,,,,,,,
,,91903.9,105570.39,,,,,,,,,,,,,
,,163746.09,79495.01,,,,,,,,,,,,,
,,96961,26848.25,,,,,,,,,,,,,
,,187756.24,187296.78,,,,,,,,,,,,,
,,25980.42,151310.16,,,,,,,,,,,,,
,,128521.16,62810.91,,,,,,,,,,,,,
,,75478.95,60830.38,,,,,,,,,,,,,
,,193471.74,116672.02,,,,,,,,,,,,,
,,102628.56,77304.49,,,,,,,,,,,,,
,,192070.16,52894.01,,,,,,,,,,,,,
,,5008.23,116471.43,,,,,,,,,,,,,
,,38928.48,4539.38,,,,,,,,,,,,,
,,48217.97,142367.72,,,,,,,,,,,,,
,,134964.85,110520.48,,,,,,,,,,,,,
,,154347.95,188258.49,,,,,,,,,,,,,
,,116548.02,197322.13,,,,,,,,,,,,,
,,166324.79,80241.14,,,,,,,,,,,,,
,,145387.05,172814.99,,,,,,,,,,,,,
,,133051.64,17622.82,,,,,,,,,,,,,
,,16528.4,48021.71,,,,,,,,,,,,,
,,66753.1,116343.09,,,,,,,,,,,,,
,,148330.97,166102.61,,,,,,,,,,,,,
,,168886.39,104353.26,,,,,,,,,,,,,
,,191746.23,115429.32,,,,,,,,,,,,,
,,139469.11,132152.32,,,,,,,,,,,,,
,,198402.37,21521.38,,,,,,,,,,,,,
,,69643.31,27431.62,,,,,,,,,,,,,
,,181224.24,42143.61,,,,,,,,,,,,,
,,56756.52,164083.72,,,,,,,,,,,,,
,,4121.04,159207.34,,,,,,,,,,,,,
,,189988.65,84487.62,,,,,,,,,,,,,
,,85547.33,3674.71,,,,,,,,,,,,,
,,169425.3,12092.03,,,,,,,,,,,,,
,,149170.25,77475.73,,,,,,,,,,,,,
,,194072.56,41291.73,,,,,,,,,,,,,
,,35865.44,343.38,,,,,,,,,,,,,
,,33373.26,47432.43,,,,,,,,,,,,,
,,84782.42,127827.18,,,,,,,,,,,,,
,,196533.72,169386.81,,,,,,,,,,,,,
,,188426.13,149073.88,,,,,,,,,,,,,
,,171340.68,22750.17,,,,,,,,,,,,,
,,6865.41,11950.29,,,,,,,,,,,,,
,,47031.4,175252.78,,,,,,,,,,,,,
,,86507.88,174303.29,,,,,,,,,,,,,
,,45113.92,80701.72,,,,,,,,,,,,,
,,31641.52,198516.2,,,,,,,,,,,,,
,,187734.49,175756.36,,,,,,,,,,,,,
,,158590.66,82824.08,,,,,,,,,,,,,
,,102566.46,159899.97,,,,,,,,,,,,,
,,140754.19,138504.28,,,,,,,,,,,,,
,,178256.58,127394.67,,,,,,,,,,,,,
,,100982.93,58961.49,,,,,,,,,,,,,
,,109626.13,119647.7,,,,,,,,,,,,,
,,109960.4,152979.14,,,,,,,,,,,,,
,,42429.88,190911.02,,,,,,,,,,,,,
,,92243.94,95794.98,,,,,,,,,,,,,
,,169037.84,188574.08,,,,,,,,,,,,,
,,12944.17,196555.32,,,,,,,,,,,,,
,,170138.68,46864,,,,,,,,,,,,,
,,104889.2,125167.92,,,,,,,,,,,,,
,,87412.24,177519.39,,,,,,,,,,,,,
,,101617.64,169653.32,,,,,,,,,,,,,
,,177784.68,16481.12,,,,,,,,,,,,,
,,147230.77,138525.19,,,,,,,,,,,,,
,,59346.4,81548.38,,,,,,,,,,,,,
,,157694.76,69608.48,,,,,,,,,,,,,
,,12905.89,68873.8,,,,,,,,,,,,,
,,88566.9,81102.81,,,,,,,,,,,,,
,,172526.9,74149.77,,,,,,,,,,,,,
,,19793.73,99503.19,,,,,,,,,,,,,
,,155221.05,10109.47,,,,,,,,,,,,,
,,62199.78,58855.85,,,,,,,,,,,,,
,,88120.78,84402.46,,,,,,,,,,,,,
,,15142.1,133537.53,,,,,,,,,,,,,
,,172450.04,124615.59,,,,,,,,,,,,,
,,21038.58,98090.69,,,,,,,,,,,,,
,,146516.86,42607.69,,,,,,,,,,,,,
,,184524.65,192434.11,,,,,,,,,,,,,
,,195259.31,60686.4,,,,,,,,,,,,,
,,25899.21,49463.44,,,,,,,,,,,,,
,,3749,22909.56,,,,,,,,,,,,,
,,199808.1,65532.17,,,,,,,,,,,,,
,,22102.25,141053.85,,,,,,,,,,,,,
,,32159.46,102083.78,,,,,,,,,,,,,
,,159557.28,1801.77,,,,,,,,,,,,,
,,141035.65,85185.44,,,,,,,,,,,,,
,,86128.21,119882.7,,,,,,,,,,,,,
,,177480.45,23425.78,,,,,,,,,,,,,
,,184006.36,77326.78,,,,,,,,,,,,,
,,582.59,108577.97,,,,,,,,,,,,,
,,54474.48,102057.86,,,,,,,,,,,,,
,,41055.71,47247.56,,,,,,,,,,,,,
,,54019.93,114566.47,,,,,,,,,,,,,
,,184977.2,151401.33,,,,,,,,,,,,,
,,127678.95,70607.1,,,,,,,,,,,,,
,,66333.56,147074.67,,,,,,,,,,,,,
,,61792.76,105780.18,,,,,,,,,,,,,
,,45482.04,109496.45,,,,,,,,,,,,,
,,168816.73,137739.45,,,,,,,,,,,,,
,,24533.89,105140.92,,,,,,,,,,,,,
,,90389.61,172531.23,,,,,,,,,,,,,
,,2919.21,64375.4,,,,,,,,,,,,,
,,183399.12,46941.41,,,,,,,,,,,,,
,,50560.45,29333.01,,,,,,,,,,,,,
,,190958.48,193724.51,,,,,,,,,,,,,
,,121964.46,55663.85,,,,,,,,,,,,,
,,198055.94,176962.31,,,,,,,,,,,,,
,,131305.37,181507.44,,,,,,,,,,,,,
,,150944.31,61995.57,,,,,,,,,,,,,
,,72846.58,98349.13,,,,,,,,,,,,,
,,99061.75,59748.19,,,,,,,,,,,,,
,,20955.03,159840.51,,,,,,,,,,,,,
,,169935.46,6656.64,,,,,,,,,,,,,
,,176471.78,37094.75,,,,,,,,,,,,,
,,93332.64,19199.61,,,,,,,,,,,,,
,,26500.29,178504.29,,,,,,,,,,,,,
,,160618.61,189016.14,,,,,,,,,,,,,
,,156495.39,156048.64,,,,,,,,,,,,,
,,72628.84,52876.41,,,,,,,,,,,,,
,,64157.24,19653.08,,,,,,,,,,,,,
,,85687.09,139451.98,,,,,,,,,,,,,
,,80344.96,128136.29,,,,,,,,,,,,,
,,26080.54,45206.57,,,,,,,,,,,,,
,,41304.44,190146.83,,,,,,,,,,,,,
,,13935.53,158313.87,,,,,,,,,,,,,
,,34712.34,96670.2,,,,,,,,,,,,,
,,171056.65,62163.53,,,,,,,,,,,,,
,,25333.03,35908.46,,,,,,,,,,,,,
,,156122.13,168780.04,,,,,,,,,,,,,
,,57904.22,191263.76,,,,,,,,,,,,,
,,31257.1,83052.03,,,,,,,,,,,,,
,,13308.2,125962.02,,,,,,,,,,,,,
,,132861.9,164696.27,,,,,,,,,,,,,
,,142783.98,187011.96,,,,,,,,,,,,,
,,168412.07,55324.49,,,,,,,,,,,,,
,,132370.75,34335.55,,,,,,,,,,,,,
,,128260.86,17004.14,,,,,,,,,,,,,
,,138906.85,116331.42,,,,,,,,,,,,,
,,29995.83,22974.01,,,,,,,,,,,,,
,,187976.88,87412.74,,,,,,,,,,,,,
,,85890.75,26136.89,,,,,,,,,,,,,
,,41777.9,126554.96,,,,,,,,,,,,,
,,139377.24,193321.3,,,,,,,,,,,,,
,,73562.05,76510.46,,,,,,,,,,,,,
,,77203.72,120115.5,,,,,,,,,,,,,
,,187604.97,197984.58,,,,,,,,,,,,,
,,63981.37,150664.97,,,,,,,,,,,,,
,,192831.67,114153.44,,,,,,,,,,,,,
,,173568.3,171706.66,,,,,,,,,,,,,
,,9324.31,31302.35,,,,,,,,,,,,,
,,26628.88,71139.8,,,,,,,,,,,,,
,,11779.98,54122.89,,,,,,,,,,,,,
,,83983.39,120031.29,,,,,,,,,,,,,
,,68297.61,104076.51,,,,,,,,,,,,,
,,98302.57,175853.64,,,,,,,,,,,,,
,,84972.9,175795.87,,,,,,,,,,,,,
,,108747.12,15360.91,,,,,,,,,,,,,
,,177065.24,168460.12,,,,,,,,,,,,,
,,5811.9,181177.9,,,,,,,,,,,,,
,,37439.9,58363.94,,,,,,,,,,,,,
,,142763.51,91514.62,,,,,,,,,,,,,
,,180344.69,76703.1,,,,,,,,,,,,,
,,132468.76,110887.14,,,,,,,,,,,,,
,,177431.59,109843.16,,,,,,,,,,,,,
,,142009.46,179365.1,,,,,,,,,,,,,
,,146663.43,65816.53,,,,,,,,,,,,,
,,114539.67,124170.9,,,,,,,,,,,,,
,,137980.58,175015.12,,,,,,,,,,,,,
,,171045.35,115441.66,,,,,,,,,,,,,
,,147635.33,128247.03,,,,,,,,,,,,,
,,125435.47,141914.94,,,,,,,,,,,,,
,,39473.63,175423.69,,,,,,,,,,,,,
,,194895.57,133447.49,,,,,,,,,,,,,
,,105096.82,114474.98,,,,,,,,,,,,,
,,153786.46,52044.66,,,,,,,,,,,,,
,,92320.37,180290.68,,,,,,,,,,,,,
,,126353.13,132034.13,,,,,,,,,,,,,
,,72169.95,20968.88,,,,,,,,,,,,,
,,166468.21,158735.1,,,,,,,,,,,,,
,,4033.39,196134.44,,,,,,,,,,,,,
,,108731.02,22374.97,,,,,,,,,,,,,
,,164647.72,161668.15,,,,,,,,,,,,,
,,98621.04,67339.34,,,,,,,,,,,,,
,,5104.08,154559.28,,,,,,,,,,,,,
,,44384.57,191961.83,,,,,,,,,,,,,
,,158845.49,165257.31,,,,,,,,,,,,,
,,198826.03,160663.11,,,,,,,,,,,,,
,,118862.08,93275.61,,,,,,,,,,,,,
,,143397.14,112269.67,,,,,,,,,,,,,
,,93702.96,2186.83,,,,,,,,,,,,,
,,172939.3,43075.7,,,,,,,,,,,,,
,,121529.59,12368.11,,,,,,,,,,,,,
,,73881.68,42410.21,,,,,,,,,,,,,
,,137510.41,190430.81,,,,,,,,,,,,,
,,102460.84,138394.37,,,,,,,,,,,,,
,,106345.05,172501.38,,,,,,,,,,,,,
,,32996.89,197916.43,,,,,,,,,,,,,
,,159483.76,7035.36,,,,,,,,,,,,,
,,101495,159676.55,,,,,,,,,,,,,
,,119333.95,80603.99,,,,,,,,,,,,,
,,54530.51,187599.8,,,,,,,,,,,,,
,,32683.88,94450.97,,,,,,,,,,,,,
,,47777.15,143981.27,,,,,,,,,,,,,
,,160976.85,164482.92,,,,,,,,,,,,,
,,190573.91,84012.81,,,,,,,,,,,,,
,,28461.29,101192.08,,,,,,,,,,,,,
,,468.94,197226.32,,,,,,,,,,,,,
,,13228.93,83700.66,,,,,,,,,,,,,
,,154002.02,35321.65,,,,,,,,,,,,,
,,181918.26,78970.58,,,,,,,,,,,,,
,,115241.96,191870.28,,,,,,,,,,,,,
,,131083.56,65731.53,,,,,,,,,,,,,
,,125334.16,145698.73,,,,,,,,,,,,,
,,191756.54,50046.25,,,,,,,,,,,,,
,,171762.87,60830.24,,,,,,,,,,,,,
,,129031.19,158853.98,,,,,,,,,,,,,
,,86490.09,111243.09,,,,,,,,,,,,,
,,125823.79,171014.69,,,,,,,,,,,,,
,,66893.28,170835.32,,,,,,,,,,,,,
,,101108.85,139297.71,,,,,,,,,,,,,
,,140938.95,195167.38,,,,,,,,,,,,,
,,108876.75,160948.87,,,,,,,,,,,,,
,,64853.51,52137.73,,,,,,,,,,,,,
,,109688.82,109296.18,,,,,,,,,,,,,
,,36320.87,20092.89,,,,,,,,,,,,,
,,30772.86,118782.06,,,,,,,,,,,,,
,,113796.15,103970.58,,,,,,,,,,,,,
,,188729.08,35786.76,,,,,,,,,,,,,
,,86920.97,25325.07,,,,,,,,,,,,,
,,16770.31,18732.84,,,,,,,,,,,,,
,,183021.06,118522.73,,,,,,,,,,,,,
,,73979.85,89972.25,,,,,,,,,,,,,
,,133267.69,187194.15,,,,,,,,,,,,,
,,67029.82,106785.7,,,,,,,,,,,,,
,,131312.56,142516.35,,,,,,,,,,,,,
,,63241.21,73334.43,,,,,,,,,,,,,
,,44567.83,186612.47,,,,,,,,,,,,,
,,101382.86,123613.81,,,,,,,,,,,,,
,,138656.81,40066.95,,,,,,,,,,,,,
,,9854.72,175969.19,,,,,,,,,,,,,
,,177423.02,151167.94,,,,,,,,,,,,,
,,109096.71,191387.76,,,,,,,,,,,,,
,,83866.35,51229.17,,,,,,,,,,,,,
,,18772.5,48984.95,,,,,,,,,,,,,
,,187636.06,182738,,,,,,,,,,,,,
,,66580.13,153535.27,,,,,,,,,,,,,
,,32900.41,125079.65,,,,,,,,,,,,,
,,108500.66,162321.26,,,,,,,,,,,,,
,,121840.2,3414.72,,,,,,,,,,,,,
,,100075.1,165082.25,,,,,,,,,,,,,
,,10137.34,52021.39,,,,,,,,,,,,,
,,980.93,148256.43,,,,,,,,,,,,,
,,166236.38,122899.01,,,,,,,,,,,,,
,,93739.71,10771.46,,,,,,,,,,,,,
,,116816.54,18255.51,,,,,,,,,,,,,
,,101314.65,183566.78,,,,,,,,,,,,,
,,192387.51,175224.12,,,,,,,,,,,,,
,,90964.54,147913.56,,,,,,,,,,,,,
,,135853.62,180598.66,,,,,,,,,,,,,
,,196794.11,186136.48,,,,,,,,,,,,,
,,144682.17,7455.2,,,,,,,,,,,,,
,,112026.1,170996.86,,,,,,,,,,,,,
,,52035.29,20603.32,,,,,,,,,,,,,
,,60017.46,141763.26,,,,,,,,,,,,,
,,165849.49,190011.85,,,,,,,,,,,,,
,,16392.72,128046.98,,,,,,,,,,,,,
,,162719.69,135662.17,,,,,,,,,,,,,
,,107112.25,23596.24,,,,,,,,,,,,,
,,197861.16,60151.77,,,,,,,,,,,,,
,,21834.4,192709.69,,,,,,,,,,,,,
,,86207.49,139083.7,,,,,,,,,,,,,
,,169642.13,35625.41,,,,,,,,,,,,,
,,91.75,35338.96,,,,,,,,,,,,,
,,13783.77,15602.8,,,,,,,,,,,,,
,,140800.66,182355.21,,,,,,,,,,,,,
,,180862.26,89327.67,,,,,,,,,,,,,
,,15126.32,151903.6,,,,,,,,,,,,,
,,22457.25,77519.62,,,,,,,,,,,,,
,,128882.66,91423.69,,,,,,,,,,,,,
,,177614.17,106287.77,,,,,,,,,,,,,
,,48137.08,161800.77,,,,,,,,,,,,,
,,106202.07,185094.48,,,,,,,,,,,,,
,,166896.01,195649.79,,,,,,,,,,,,,
,,70221.13,145792.01,,,,,,,,,,,,,
,,79623.28,168895.06,,,,,,,,,,,,,
,,172792.43,97983.44,,,,,,,,,,,,,
,,41536.59,85167.88,,,,,,,,,,,,,
,,112465.19,18210.36,,,,,,,,,,,,,
,,190806.36,13608.18,,,,,,,,,,,,,
,,32080.69,110457.99,,,,,,,,,,,,,
,,110035.88,31231.35,,,,,,,,,,,,,
,,65632.33,141582.66,,,,,,,,,,,,,
,,14032.62,55400.17,,,,,,,,,,,,,
,,28806.32,174667.65,,,,,,,,,,,,,
,,159718.27,154189.08,,,,,,,,,,,,,
,,174189.04,142170.44,,,,,,,,,,,,,
,,68260.27,94499.06,,,,,,,,,,,,,
,,58854.88,182081.45,,,,,,,,,,,,,
,,87994.95,88798.02,,,,,,,,,,,,,
,,150659.35,113781.99,,,,,,,,,,,,,
,,190457.87,121866.87,,,,,,,,,,,,,
,,9445.42,150390.57,,,,,,,,,,,,,
,,119110.03,78858.07,,,,,,,,,,,,,
,,165122.55,125698.97,,,,,,,,,,,,,
,,25165.36,23235.38,,,,,,,,,,,,,
,,172269.21,75732.25,,,,,,,,,,,,,
,,6009.27,179861.79,,,,,,,,,,,,,
,,112813.79,42976.64,,,,,,,,,,,,,
,,100200.4,10486.69,,,,,,,,,,,,,
,,123587.83,56794.73,,,,,,,,,,,,,
,,4859.59,28157.34,,,,,,,,,,,,,
,,21085.17,167033.83,,,,,,,,,,,,,
